지역,지역분류,id,초등학교...3,초등학교...4,중학교...6,중학교...7,고등학교...9,고등학교...10,초등학교수비율,중학교수비율,고등학교수비율
종로구,중앙,11110,13,5686,9,3453,15,12131,2.16,2.34,4.72
중구,중앙,11140,12,5474,8,2281,11,8163,2,2.08,3.46
용산구,중앙,11170,15,7923,9,4270,10,7475,2.5,2.34,3.14
성동구,북동,11200,21,12352,11,5709,7,6256,3.49,2.86,2.2
광진구,북동,11215,22,15327,12,8440,9,10388,3.66,3.12,2.83
동대문구,북동,11230,21,14212,15,7792,11,9531,3.49,3.91,3.46
중랑구,북동,11260,23,15779,14,8197,10,8602,3.83,3.65,3.14
성북구,북동,11290,29,22467,18,10873,14,11639,4.83,4.69,4.4
강북구,북동,11305,14,11225,13,7484,7,6642,2.33,3.39,2.2
도봉구,북동,11320,23,16760,13,8386,10,8462,3.83,3.39,3.14
노원구,북동,11350,42,29482,26,18932,25,27893,6.99,6.77,7.86
은평구,북서,11380,30,23037,18,12263,18,15992,4.99,4.69,5.66
서대문구,북서,11410,19,13331,14,7298,7,6458,3.16,3.65,2.2
마포구,북서,11440,22,16361,14,8376,9,6993,3.66,3.65,2.83
양천구,남서,11470,30,24825,19,18073,14,16683,4.99,4.95,4.4
강서구,남서,11500,36,27048,22,12200,23,19864,5.99,5.73,7.23
구로구,남서,11530,24,19143,13,9058,14,11542,3.99,3.39,4.4
금천구,남서,11545,17,9189,9,4951,6,5591,2.83,2.34,1.89
영등포구,남서,11560,23,14449,11,6997,9,8020,3.83,2.86,2.83
동작구,남서,11590,21,16887,16,8826,7,7625,3.49,4.17,2.2
관악구,남서,11620,22,16883,16,8838,17,11842,3.66,4.17,5.35
서초구,남동,11650,24,22595,15,12004,11,13278,3.99,3.91,3.46
강남구,남동,11680,33,24190,24,15947,21,24275,5.49,6.25,6.6
송파구,남동,11710,39,31048,27,18155,19,20274,6.49,7.03,5.97
강동구,남동,11740,26,20448,18,11109,14,13937,4.33,4.69,4.4
