Airport,Latitude,Longtitude,grp
CJJ,3718,4426,1
CJU,3264,4408,2
GMP,3832,4413,3
HIN,3505,4435,4
ICN,3822,4407,5
ICN,3822,4407,6
ICN,3822,4407,7
ICN,3822,4407,8
ICN,3822,4407,9
ICN,3822,4407,10
ICN,3822,4407,11
ICN,3822,4407,12
ICN,3822,4407,13
ICN,3822,4407,14
PUS,3518,4456,15
PUS,3518,4456,16
PUS,3518,4456,17
PUS,3518,4456,18
CEB,1593,4368,1
CEB,1593,4368,2
CJU,3264,4408,3
CJU,3264,4408,4
FRA,5805,7247,5
HKT,7484,7593,6
HND,3572,4697,7
ICN,3822,4407,8
KHH,2265,4261,9
KIJ,3834,4678,10
PEK,4256,4093,11
PRG,5815,4723,12
PVG,2989,4328,13
PVG,2989,4328,14
SJW,3927,4041,15
TAO,3670,4264,16
WJU,3817,4434,17
YVR,5627,680,18
