"name","age","club","national","value"
"Kylian Mbappe","22","Paris Saint-Germain","France",160
"Erling Haaland","21","Borussia Dortmund","Norway",130
"Harry Kane","28","Tottenham Hotspur","England",120
"Jadon Sancho","21","Manchester United","England",100
"Mohamed Salah","29","Liverpool FC","Egypt",100
"Romelu Lukaku","28","Chelsea FC","Belgium",100
"Kevin De Bruyne","30","Manchester City","Belgium",100
"Neymar","29","Paris Saint-Germain","Brazil",100
"Frenkie de Jong","24","FC Barcelona","Netherlands",90
"Bruno Fernandes","26","Manchester United","Portugal",90
"Joshua Kimmich","26","Bayern Munich","Germany",90
"Raheem Sterling","26","Manchester City","England",90
"Marcus Rashford","23","Manchester United","England",85
"Sadio Mane","29","Liverpool FC","Senegal",85
"Heung-min Son","29","Tottenham Hotspur","Korea, South",85
"Pedri","18","FC Barcelona","Spain",80
"Joao Felix","21","Atletico de Madrid","Portugal",80
"Phil Foden","21","Manchester City","England",80
"Lautaro Martinez","24","Inter Milan","Argentina",80
"Marcos Llorente","26","Atletico de Madrid","Spain",80
"Lionel Messi","34","Paris Saint-Germain","Argentina",80
"Mason Mount","22","Chelsea FC","England",75
"Matthijs de Ligt","22","Juventus FC","Netherlands",75
"Trent Alexander-Arnold","22","Liverpool FC","England",75
"Ruben Dias","24","Manchester City","Portugal",75
